ID,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소
1,세종충남대학교병원,종합병원,1800-3114,30099,"세종특별자치시 보듬7로 20, 세종충남대학교병원 (도담동)"
2,의료법인 영제 의료재단 엔케이세종병원,종합병원,044-850-7700,30130,"세종특별자치시 한누리대로 161, 세종시 NK리움힐 상가 1~8층 (나성동)"
3,한마음효요양병원,요양병원,044-863-7200,30016,"세종특별자치시 조치원읍 금이로 53-11, (조치원읍)"
4,운주산성요양병원,요양병원,044-1544-0240,30009,"세종특별자치시 전동면 모산고개길 96-25, (전동면)"
5,의료법인 선은의료재단 중앙요양병원,요양병원,044-865-0066,30016,"세종특별자치시 조치원읍 섭골길 37, ()"
6,조치원노인전문병원,요양병원,044-862-7607,30042,"세종특별자치시  연서면 도신고복로 789-17, 789"
7,의료법인은혜의료재단 은혜기독병원,정신병원,044-868-5004,30045,"세종특별자치시 연서면 효교로 135-30, ()"
8,트리니움여성병원,병원,044-270-0114,30147,"세종특별자치시 한누리대로 1934, 메인타워 (반곡동)"
9,아름드리나무어린이병원,병원,044-715-7200,30100,"세종특별자치시 보듬3로 101, 5층 일부, 6-7층 (아름동)"
10,서울현병원,병원,1600-5626,30128,"세종특별자치시 나성북로 15, MVG 4-7층 (나성동)"
11,중앙의원,의원,044-862-4408,30004,"세종특별자치시 전의면 읍내길 20, (전의면)"
12,전의의원,의원,044-863-2828,30004,"세종특별자치시 전의면 읍내길 13, 13"
13,누가연합의원,의원,044-863-0494,30004,"세종특별자치시 전의면 읍내길 7, ()"
14,서울연합의원,의원,044-523-3375,30001,"세종특별자치시 소정면 소정구길 164, 103,201호"
15,장현진정형외과의원,의원,044-863-1150,30026,"세종특별자치시 조치원읍 조치원로 62, 62"
16,김형기신경외과의원,의원,044-868-7574,30024,"세종특별자치시  조치원읍 새내로 132, (조치원읍)"
17,유성연합의원,의원,044-868-6617,30024,"세종특별자치시 조치원읍 새내로 132, ()"
18,하나의원,의원,044-864-7612,30026,"세종특별자치시 조치원읍 조치원로 42, 1층"
19,이내과의원,의원,044-865-3571,30024,"세종특별자치시 조치원읍 조치원로 31, 31"
20,장동석내과의원,의원,044-868-8841,30024,"세종특별자치시 조치원읍 새내로 122, 메가박스 3층 306,307,308,309,310,311,312호"
21,한사랑산부인과의원,의원,044-867-8433,30024,"세종특별자치시 조치원읍 새내로 122, (세종시네마 1동 301호, 302호, 303호, 304호,305호)"
22,홍은표외과의원,의원,044-863-7502,30024,"세종특별자치시 조치원읍 새내로 122, 메가박스 210~212호"
23,선비뇨기과의원,의원,044-868-8866,30027,"세종특별자치시 조치원읍 조치원로 26, ()"
24,문내과의원,의원,044-867-6551,30027,"세종특별자치시 조치원읍 조치원로 22, 22"
25,서울연합외과의원,의원,044-865-3838,30027,"세종특별자치시 조치원읍 조치원로 22, 3층"
26,성심외과의원,의원,044-865-3616,30023,"세종특별자치시 조치원읍 새내로 113, ()"
27,성모이비인후과의원,의원,044-863-1803,30023,"세종특별자치시 조치원읍 조치원로 7, 7"
28,하나로내과의원,의원,044-862-5900,30027,"세종특별자치시 조치원읍 새내로 102, 1,2층"
29,신화비뇨기과의원,의원,044-865-9999,30023,"세종특별자치시 조치원읍 조치원1길 6, 6"
30,김내과의원,의원,044-862-3575,30027,"세종특별자치시 조치원읍 새내로 98, 98"
31,이안과의원,의원,044-866-7863,30027,"세종특별자치시 조치원읍 새내로 98, 98"
32,백내과의원,의원,044-862-3838,30028,"세종특별자치시 조치원읍 조치원2길 5, 2~4층"
33,양규준산부인과의원,의원,044-862-8811,30027,"세종특별자치시 조치원읍 새내로 96, 96"
34,서울신통마취통증의학과의원,의원,044-862-7582,30028,"세종특별자치시 조치원읍 새내로 97, 3층"
35,서울아산내과의원,의원,044-862-7559,30028,"세종특별자치시 조치원읍 새내로 97, 2층, 7층"
36,성가정신건강의학과의원,의원,044-867-5357,30028,"세종특별자치시 조치원읍 새내로 97, 5층 1호"
37,성모안과의원,의원,044-868-0021,30028,"세종특별자치시 조치원읍 새내로 97, 601호"
38,정비뇨기과의원,의원,044-867-5350,30028,"세종특별자치시 조치원읍 새내로 97, 4층 402호"
39,정석이비인후과의원,의원,044-715-7579,30028,"세종특별자치시 조치원읍 새내로 97, 조치원메디컬센터 502호"
40,굿모닝가정의학과의원,의원,044-868-7582,30028,"세종특별자치시 조치원읍 으뜸길 208, 208"
41,김승환이비인후과의원,의원,044-862-8575,30027,"세종특별자치시 조치원읍 새내로 88-1, 88"
42,여러분소통내과의원,의원,044-868-7588,30027,"세종특별자치시 조치원읍 새내로 88-1, 3층"
43,제일신경과의원,의원,044-862-8275,30027,"세종특별자치시 조치원읍 새내로 88-1, 2층"
44,오케이마취통증의학과의원,의원,044-867-7575,30027,"세종특별자치시 조치원읍 새내8길 7, 3~4층"
45,고명철정형외과의원,의원,044-865-3414,30028,"세종특별자치시 조치원읍 새내로 77, 77"
46,이은경소아청소년과의원,의원,044-868-3414,30028,"세종특별자치시 조치원읍 새내로 77, ()"
47,연세신경외과의원,의원,044-865-2116,30028,"세종특별자치시 조치원읍 새내로 75, 75"
48,서울외과의원,의원,044-863-4912,30027,"세종특별자치시 조치원읍 새내로 68-1, 68"
49,중앙외과의원,의원,044-867-0001,30027,"세종특별자치시 조치원읍 새내4길 3, 3"
50,현대정형외과의원,의원,044-862-5161,30028,"세종특별자치시 조치원읍 새내로 63, 2층"
51,연세가정의학과의원,의원,044-863-8275,30034,"세종특별자치시 조치원읍 대첩로 17, 17"
52,다솜가정의학과의원,의원,044-865-0075,30032,"세종특별자치시 조치원읍 도원1로 16, (푸르지오 상가 208. 209호)"
53,웰가정의학과의원,의원,044-868-7507,30031,"세종특별자치시 조치원읍 도원2로 39, 3층"
54,유경의원,의원,044-275-2160,30075,"세종특별자치시 부강면 부강2길 14, (부강면)"
55,부강제일의원,의원,044-275-3330,30075,"세종특별자치시 부강면 부강5길 11-1, ()"
56,한마음의원,의원,044-277-6446,30075,"세종특별자치시 부강면 부강4길 10, ()"
57,부영의원,의원,044-275-3782,30076,"세종특별자치시 부강면 부강로 37-1, 1~2층"
58,삼성전기(주) 부속의원,의원,044-861-1348,30067,"세종특별자치시 연동면 삼성길 25, 4동 1층"
59,허브연합내과의원,의원,044-715-7588,30092,"세종특별자치시 해밀3로 51, 스카이허브 303,304호 (해밀동)"
60,세종수이비인후과의원,의원,044-715-7730,30092,"세종특별자치시 해밀3로 43, 스카이드림 501,502호 (해밀동)"
61,세종스카이내과의원,의원,044-715-7320,30092,"세종특별자치시 해밀3로 43, 스카이드림 6층 602,603,604호 (해밀동)"
62,윤빛소아청소년과의원,의원,044-865-8124,30092,"세종특별자치시 해밀3로 43, 스카이드림 303호 (해밀동)"
63,세종바른연합의원,의원,044-867-1110,30146,"세종특별자치시 한누리대로 1820, 3층 305-1~2,306-1~2,307,308호 (반곡동)"
64,클레르피부과의원,의원,044-715-5910,30146,"세종특별자치시 한누리대로 1820, 왕관빌딩 401,402,403-1호 (반곡동)"
65,하늘소아청소년과의원,의원,044-867-5151,30146,"세종특별자치시 한누리대로 1820, 왕관빌딩 314-2,315,404,405-1호 (반곡동)"
66,세미이비인후과의원,의원,044-715-7560,30146,"세종특별자치시 한누리대로 1824, 3층 301~303,308호 (반곡동)"
67,세종예쁨의원,의원,044-868-9921,30146,"세종특별자치시  한누리대로 1824, 305, 306호 (반곡동)"
68,세종조은내과의원,의원,044-715-7570,30146,"세종특별자치시 한누리대로 1828, 시드니블루 401호,402호 (반곡동)"
69,위하는내과의원,의원,044-715-5110,30146,"세종특별자치시 한누리대로 1844, 행복드림타워 301~305호 (반곡동)"
70,김예진내과의원,의원,044-862-8875,30098,"세종특별자치시 한누리대로 589, 해피라움7 404,405,702-1,702-2호 (도담동)"
71,세종 정형외과의원,의원,867-2191,30098,"세종특별자치시 한누리대로 583, 도담센트럴프라자 501,502,506호 (도담동)"
72,세종쉼정신건강의학과의원,의원,044-864-1181,30100,"세종특별자치시 한누리대로 583, 503호 (도담동, 도담센트럴프라자)"
73,수앤미통증의학과의원,의원,044-865-1174,30100,"세종특별자치시 한누리대로 583, 도담센트럴프라자 4층 401,402호 (도담동)"
74,좋은하루이비인후과의원,의원,044-998-7582,30098,"세종특별자치시 보듬4로 9, 3층 6,7호 (도담동, 도램마을11단지)"
75,건강한가족의원,의원,044-858-7555,30100,"세종특별자치시 보듬3로 8-12, 101-2.102호 (도담동, 라온프라이빗시티1상가)"
76,세종365의원,의원,1661-3561,30147,"세종특별자치시 한누리대로 1958, 법조타운A 4층 401~410호 (소담동)"
77,도담도담소아청소년과의원,의원,044-867-3211,30100,"세종특별자치시 보듬3로 6, 212호 (도담동, 라온프라이빗시티2상가)"
78,세종내과의원,의원,044-868-1070,30100,"세종특별자치시 보듬3로 6, 204.205호 (도담동, 라온프라이빗시티2상가)"
79,굿제이산부인과의원,의원,044-715-7677,30103,"세종특별자치시 절재로 194, 중앙타운 303호 (어진동)"
80,동행정신건강의학과의원,의원,044-867-7579,30103,"세종특별자치시 절재로 194, 중앙타운 704호 (어진동)"
81,두리이비인후과의원,의원,044-865-7577,30103,"세종특별자치시 절재로 194, 중앙타운 801,802호 (어진동)"
82,백앤미의원,의원,044-868-9617,30103,"세종특별자치시 절재로 194, 510호 (어진동, 중앙타운)"
83,블랑피부과의원,의원,044-905-1100,30103,"세종특별자치시 절재로 194, 중앙타운 301호,302(일부)호 (어진동)"
84,서울아산재활의학과의원,의원,044-715-7591,30103,"세종특별자치시 절재로 194, 중앙타운 4층 406호 (어진동)"
85,스마트정신건강의학과의원,의원,044-862-7392,30103,"세종특별자치시 절재로 194, 504호 (어진동, 세종드림)"
86,아이닉안과의원,의원,044-868-1288,30103,"세종특별자치시 절재로 194, 403,404호 (어진동, 세종드림)"
87,위대한내과의원,의원,044-865-3375,30103,"세종특별자치시 절재로 194, 505호,506호 (어진동, 중앙타운)"
88,제일마취통증의학과의원,의원,044-862-0008,30103,"세종특별자치시 절재로 194, 604호 (어진동, 세종드림)"
89,연세정담정신건강의학과의원,의원,044-866-3824,30102,"세종특별자치시 한누리대로 499, 세종포스트빌딩 201-3,301호 (어진동)"
90,세종뷰티의원,의원,044-863-0492,30103,"세종특별자치시 한누리대로 492, 청암빌딩 405,406호 (어진동)"
91,세종서울정형외과의원,의원,044-862-8833,30103,"세종특별자치시 한누리대로 492, 청암빌딩 403,404,407호 (어진동)"
92,세종성모내과의원,의원,044-905-0606,30103,"세종특별자치시 한누리대로 492, 청암빌딩 401,402호 (어진동)"
93,킹세종 이비인후과의원,의원,044-868-1443,30103,"세종특별자치시 한누리대로 492, 청암빌딩 303,304호 (어진동)"
94,세종청사 부속의원,의원,044-200-1560,30064,"세종특별자치시 다솜2로 94, 5동 301호 (어진동, 정부세종청사)"
95,코끼리소아청소년과의원,의원,044-867-8867,30151,"세종특별자치시 한누리대로 2012, 코끼리타워 401호,402호 (소담동)"
96,무지개소아청소년과의원,의원,044-862-0507,30150,"세종특별자치시 소담1로 16, 406호 (소담동, 지엘플렉스2)"
97,매일연합의원,의원,044-864-7975,30102,"세종특별자치시 절재로 154, 1층 (어진동, 홈플러스 세종점)"
98,소담내과의원,의원,044-863-4100,30151,"세종특별자치시 한누리대로 2016, 302~309호 (소담동, 타임빌딩)"
99,소담튼튼소아청소년과의원,의원,044-868-8276,30151,"세종특별자치시 한누리대로 2016, 404호,405호 (소담동, 타임빌딩)"
100,정마취통증의학과의원,의원,044-905-3300,30151,"세종특별자치시 한누리대로 2016, 타임빌딩 401호,402호 (소담동)"
101,세종탑재활의학과의원,의원,044-864-1620,30151,"세종특별자치시 한누리대로 2018, 사이언스타운 501호, 506~508호호 (소담동)"
102,소망안과의원,의원,044-868-8224,30151,"세종특별자치시 한누리대로 2018, 사이언스타운 307,308호 (소담동)"
103,코알이비인후과의원,의원,044-865-3650,30151,"세종특별자치시 한누리대로 2018, 사이언스타운 4층 403~406호 (소담동)"
104,세움소아청소년과의원,의원,044-862-6075,30100,"세종특별자치시 보듬3로 92, 310호 (아름동, 해피라움2상가)"
105,세종제이피부과의원,의원,044-865-1675,30100,"세종특별자치시 보듬3로 92, 해피라움2 403,404,405호 (아름동)"
106,우리이비인후과의원,의원,044-865-8575,30100,"세종특별자치시 보듬3로 92, 409호 (아름동, 해피라움2상가)"
107,소담에스정형외과의원,의원,044-867-8400,30151,"세종특별자치시 한누리대로 2022, 아이콤스타타워 301,302,303,308호 (소담동)"
108,아름누리소아청소년과의원,의원,044-865-7522,30151,"세종특별자치시 한누리대로 2022, 아이콤스타타워 402,403호 (소담동)"
109,정부세종청사 중앙동 부속의원,의원,044-200-3871,30112,"세종특별자치시 도움6로 42, 정부세종청사 중앙동 2층 일부호 (어진동)"
110,세종시원마취통증의학과의원,의원,044-867-7585,30100,"세종특별자치시 보듬3로 100, 해피라움1 201~203호 (아름동)"
111,최훈내과의원,의원,044-865-5575,30100,"세종특별자치시 보듬3로 91, 303.304호 (아름동, 해피라움4)"
112,세종코아이비인후과의원,의원,044-868-7585,30062,"세종특별자치시 마음로 272-4, 고운메디프라자 201호 (고운동)"
113,세종속편한내과의원,의원,044-862-1401,30100,"세종특별자치시 보듬3로 95, 해피라움3 3층 301,302,304-2,305호 (아름동)"
114,웰키즈소아청소년과의원,의원,044-868-4880,30100,"세종특별자치시 보듬3로 95, 118,308,310,401~5,410,603~8,705호 (아름동)"
115,연세더아름의원,의원,044-715-7911,30100,"세종특별자치시 보듬3로 101, 2층 203,204,205호 (아름동)"
116,꿈담소아청소년과의원,의원,044-715-7545,30062,"세종특별자치시 마음로 264, 고운프라자 2층 201-1호 (고운동)"
117,메디캐치 정형외과의원,의원,044-417-6273,30062,"세종특별자치시  마음로 272-17, 세종 NS타워 3차 4층 (고운동)"
118,메디캐치의원,의원,044-417-6271,30062,"세종특별자치시  마음로 272-17, 세종NS타워 3차 3층 (고운동)"
119,서산부인과의원,의원,044-905-3575,30100,"세종특별자치시 보듬3로 150, 아름 행복타워 3,4층 (아름동)"
120,세종김안과의원,의원,044-864-2360,30100,"세종특별자치시 보듬3로 150, 아름 행복타워 5층 501,502,503호 (아름동)"
121,코끼리마취통증의학과의원,의원,044-862-7505,30100,"세종특별자치시 보듬3로 150, 아름 행복타워 502호 (아름동)"
122,나은정형외과의원,의원,044-863-7579,30100,"세종특별자치시 보듬3로 143, 502,503호 (아름동, 대영프라자)"
123,세종장사랑내과의원,의원,044-715-7520,30100,"세종특별자치시 보듬3로 158, 아름메디컬센터 4층 401~405호 (아름동)"
124,삼성밸런스이비인후과의원,의원,044-715-7517,30100,"세종특별자치시 아름서1길 13-12, 세종 제이디빌딩 201,202호 (아름동)"
125,핑크유외과의원,의원,044-417-6688,30101,"세종특별자치시 세종로 1229, 스타플레이스 4층 403,404호 (고운동)"
126,세종청사 제2부속의원,의원,044-203-1400,30118,"세종특별자치시 한누리대로 402, 산업통상자원부, 중앙토지수용위원회 13동 434호 (어진동)"
127,세종미즈산부인과의원,의원,044-868-3582,30064,"세종특별자치시 도움3로 105-5, 504호 (종촌동, 종촌중앙프라자)"
128,씨엘비뇨기과의원,의원,044-865-0052,30064,"세종특별자치시 도움3로 105-5, 603.604호 (종촌동, 종촌중앙프라자)"
129,유앤이내과의원,의원,044-862-7511,30064,"세종특별자치시 도움3로 105-5, 501.502.503.507호 (종촌동, 종촌중앙프라자)"
130,세종다사랑가정의학과의원,의원,044-863-7523,30064,"세종특별자치시 도움3로 105-7, 401호 (종촌동, 메디케어)"
131,세종맑은이비인후과의원,의원,044-862-2358,30064,"세종특별자치시 도움3로 105-7, 메디케어빌딩 301호 (종촌동)"
132,올마취통증의학과의원,의원,044-863-0648,30064,"세종특별자치시 도움3로 105-7, 403.404.405호 (종촌동, 메디케어)"
133,세종아이소아청소년과의원,의원,044-864-0800,30064,"세종특별자치시 달빛로 59, 303.304호 (종촌동, 호만빌딩)"
134,세종퍼스트피부과의원,의원,044-864-9969,30064,"세종특별자치시 달빛로 59, 호만빌딩 601~603호 (종촌동)"
135,곰돌이 소아청소년과의원,의원,044-866-0275,30064,"세종특별자치시 달빛로 47, 302호 (종촌동, 종촌파크프라자)"
136,맑은내과외과의원,의원,044-863-6777,30064,"세종특별자치시 달빛로 45, The Riverside 401~404, 503호 (종촌동)"
137,지에프정형외과의원,의원,044-868-7506,30064,"세종특별자치시 달빛로 43, 3층 (종촌동, 금강빌딩)"
138,서울삼성안과의원,의원,044-862-0014,30064,"세종특별자치시 도움1로 106, 메가시티 403,404,414호 (종촌동)"
139,세종가톨릭정형외과의원,의원,044-867-7171,30064,"세종특별자치시 도움1로 106, 401~402호,405~408호,416호 (종촌동, 메가시티)"
140,세종숲정신건강의학과의원,의원,044-865-7560,30064,"세종특별자치시 도움1로 106, 메가시티 3층 301호 (종촌동)"
141,웰에스테의원,의원,044-863-8271,30064,"세종특별자치시 도움1로 106, 메가시티 409호 (종촌동)"
142,종촌제일연합내과의원,의원,044-715-7511,30064,"세종특별자치시 도움1로 106, 메가시티 610,615-1호 (종촌동)"
143,한사랑의원,의원,044-867-3569,30064,"세종특별자치시 도움1로 106, 메가시티 501,505,506,507호 (종촌동)"
144,삼성미의원,의원,044-868-7570,30064,"세종특별자치시 도움1로 108, 몰리브(Mallive) 4층 405~406호 (종촌동)"
145,유소아청소년과의원,의원,044-866-8025,30064,"세종특별자치시 도움1로 108, 408.409호 (종촌동, 몰리브)"
146,세종성모소아청소년과의원,의원,044-865-4003,30150,"세종특별자치시 한누리대로 2129, 스타힐타워Ⅱ 401~405,409,412~415호 (보람동)"
147,더공감정신건강의학과의원,의원,044-715-7678,30150,"세종특별자치시 한누리대로 2135, 스타힐타워1 304호 (보람동)"
148,더블유세종어진건강의원,의원,044-715-5262,30121,"세종특별자치시 한누리대로 350, 뱅크빌딩 4층 401,405호 (어진동)"
149,세종고려정형외과의원,의원,044-865-3888,30150,"세종특별자치시 한누리대로 2143, 금강시티타워 303~306호 (보람동)"
150,세종시청점오라클피부과의원,의원,044-715-7716,30150,"세종특별자치시 한누리대로 2143, 금강시티타워 204~206호 (보람동)"
151,이도내과의원,의원,044-905-2500,30150,"세종특별자치시 한누리대로 2143, 금강시티타워 403~404호 (보람동)"
152,고운소아청소년과의원,의원,044-868-9545,30150,"세종특별자치시 남세종로 454, 405호 (보람동, 강남제일타워)"
153,우리연합의원,의원,044-867-7803,30150,"세종특별자치시 남세종로 454, 404호 (보람동, 강남제일타워)"
154,센텀비뇨기과의원,의원,044-867-6553,30150,"세종특별자치시 한누리대로 2149, 엔젤타워 404호~407호 (보람동)"
155,드림이비인후과의원,의원,044-865-1275,30150,"세종특별자치시 남세종로 458, 아리랑빌딩 201,202호 (보람동)"
156,세종이지항외과의원,의원,044-863-6131,30123,"세종특별자치시 한누리대로 331, 3층 320~323호 (나성동, SR파크센텀)"
157,노블클라쎄산부인과의원,의원,044-866-3575,30150,"세종특별자치시 한누리대로 2165, 호려울마을7단지 근린생활시설 752동 A302~308-1, A315~A320호 (보람동)"
158,우리메디컬의원,의원,044-868-5375,30063,"세종특별자치시 고운서길 19, 세종 스마트큐브Ⅰ 301~303,305~308호 (고운동)"
159,봄봄이비인후과의원,의원,044-715-5915,30063,"세종특별자치시 마음로 78, 세종 스마트큐브Ⅱ 203,204호 (고운동)"
160,365열린연합의원,의원,044-864-7757,30063,"세종특별자치시 마음로 74, 302.303호 (고운동, 그랜드프라자)"
161,고운맘소아청소년과의원,의원,044-862-5252,30063,"세종특별자치시 마음로 70, 304호 (고운동, 에셀프라자)"
162,참좋은서울아산내과의원,의원,044-866-5900,30123,"세종특별자치시 다정중앙로 58, 다정메디프라자 5층 502~505호 (다정동)"
163,브이유의원,의원,044-866-6222,30128,"세종특별자치시  나성북로 21, 센트럴타워 506호 (나성동)"
164,다정내과의원,의원,044-864-1911,30124,"세종특별자치시 다정중앙로 57, 다정센타프라자 306,307호 (다정동)"
165,도란도란소아청소년과의원,의원,044-863-3275,30124,"세종특별자치시 다정중앙로 57, 다정센타프라자 303호 (다정동)"
166,리더본재활의학과의원,의원,044-865-0700,30128,"세종특별자치시 나성북로 30, 퍼스트원 6층 648호~655호 (나성동)"
167,세종스노우의원,의원,044-903-3090,30128,"세종특별자치시 나성북로 30, 퍼스트원 550~562호 (나성동)"
168,손근형소아청소년과의원,의원,044-715-5975,30128,"세종특별자치시 나성북로 30, 퍼스트원 5층 563,564,565호 (나성동)"
169,연세나무 정신건강의학과의원,의원,044-865-5272,30128,"세종특별자치시 나성북로 30, 퍼스트원 5층 547,548,549,533호 (나성동)"
170,다정서문365정형외과의원,의원,044-865-1039,30123,"세종특별자치시 다정중앙로 52, 페스티발2 605~614호 (다정동)"
171,로뎀소아청소년과의원,의원,044-863-0033,30123,"세종특별자치시 다정중앙로 52, 페스티발2 402~404호 (다정동)"
172,세종우리의원,의원,044-867-1170,30123,"세종특별자치시 다정중앙로 52, 페스티발2 510,511,512,513호 (다정동)"
173,시원이비인후과의원,의원,044-865-2340,30123,"세종특별자치시  다정중앙로 52, 페스티발2 507~509호 (다정동)"
174,세종국민건강의원,의원,1522-3466,30123,"세종특별자치시 가온로 8, 혜원빌딩 2~3층 (다정동)"
175,라비에피부과의원,의원,044-864-5005,30124,"세종특별자치시 다정중앙로 51, 더다정빌딩 501,502,503호 (다정동)"
176,크리미의원,의원,044-715-7750,30123,"세종특별자치시 다정중앙로 46, 2층 (다정동)"
177,서울아산신경외과의원,의원,044-868-5288,30128,"세종특별자치시 나성북로 9, 701,702호 (나성동, 메가타워1)"
178,서울뷰의원세종점,의원,044-715-5199,30128,"세종특별자치시 나성로 96, 더센트럴 519호 (나성동)"
179,서울어반내과의원,의원,044-272-3800,30128,"세종특별자치시 나성로 96, 더센트럴 5층 520~526호 (나성동)"
180,소리숨이비인후과의원,의원,044-868-1177,30128,"세종특별자치시 나성로 96, 더센트럴 421호 (나성동)"
181,열린이비인후과의원,의원,044-867-7550,30124,"세종특별자치시 다정중앙로 45, 다정프라자 304호~305호 (다정동)"
182,다정소아청소년과의원,의원,044-998-7711,30124,"세종특별자치시 다정북로 109, 204,205호 (다정동, 가온마을3단지)"
183,마음현정신건강의학과의원,의원,044-862-3217,30127,"세종특별자치시 한누리대로 275, 형성프라자 6층 606,607호 (나성동)"
184,블리비의원,의원,1833-7390,30127,"세종특별자치시 한누리대로 275, 형성프라자 301호~303호 (나성동)"
185,서울삼성이비인후과의원,의원,044-864-1864,30127,"세종특별자치시 한누리대로 275, 형성프라자 401~404호 (나성동)"
186,송창헌내과의원,의원,044-866-0966,30127,"세종특별자치시 한누리대로 275, 형성프라자 405,406,407호 (나성동)"
187,윤정형외과의원,의원,044-862-2827,30063,"세종특별자치시 만남로3길 7, 지하1층 2~3층 (고운동)"
188,비쥬얼피부과의원,의원,044-715-7585,30127,"세종특별자치시 한누리대로 273, 새롬씨티 3층 302,303,304호 (나성동)"
189,세종연합비뇨기과의원,의원,044-867-2800,30127,"세종특별자치시 한누리대로 273, 새롬씨티 403,404,407,408호 (나성동)"
190,세종우리성모안과의원,의원,044-864-3370,30127,"세종특별자치시 한누리대로 273, 601~604호 (나성동)"
191,연세미니성형외과의원,의원,044-867-3655,30127,"세종특별자치시 한누리대로 273, 새롬씨티 502호, 503호 (나성동)"
192,이안정신건강의학과의원,의원,044-999-1102,30127,"세종특별자치시 한누리대로 273, 307호,402호,606~607호,706~707호호 (나성동)"
193,동행의원한의원,의원,044-868-9935,30127,"세종특별자치시 한누리대로 265, 명동프라자 601,602,603일부호 (나성동)"
194,마인드랩공간정신건강의학과의원,의원,044-715-5670,30127,"세종특별자치시 한누리대로 265, 명동프라자 406~407호 (나성동)"
195,삼성필성형외과의원,의원,044-867-1233,30127,"세종특별자치시 한누리대로 265, 명동프라자 3층 (나성동)"
196,서울봄빛안과의원,의원,044-865-1400,30127,"세종특별자치시 한누리대로 265, 명동프라자 603~607호 (나성동)"
197,세종노블에스의원,의원,044-864-8610,30127,"세종특별자치시 한누리대로 265, 명동프라자 403~405호 (나성동)"
198,세종위드정형외과의원,의원,044-715-7574,30127,"세종특별자치시 한누리대로 265, 명동프라자 7층 701,702,703호 (나성동)"
