ID,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소
199,유웰비뇨의학과의원,의원,1588-8163,30127,"세종특별자치시 한누리대로 265, 명동프라자 502-504호 (나성동)"
200,미애로여성의원,의원,044-863-7475,30127,"세종특별자치시 한누리대로 253, 에스빌딩 603호,604호 (나성동)"
201,삼성마음그린정신건강의학과의원,의원,044-867-1000,30127,"세종특별자치시 한누리대로 253, 에스빌딩 301호,505호 (나성동)"
202,세종톡스앤필의원,의원,044-414-9200,30127,"세종특별자치시 한누리대로 253, 에스빌딩 501호 (나성동)"
203,세종항도외과의원,의원,044-867-4475,30127,"세종특별자치시 한누리대로 253, 503호 (나성동, 에스빌딩)"
204,잇츠미의원,의원,044-867-1108,30127,"세종특별자치시 한누리대로 253, 에스빌딩 302~304호 (나성동)"
205,크로바내과의원,의원,044-863-7975,30127,"세종특별자치시 한누리대로 253, 606~607호 (나성동, 에스빌딩)"
206,두미소신경과의원,의원,044-867-6119,30127,"세종특별자치시 한누리대로 249, 에스제이타워 408~410,507호 (나성동)"
207,화인마취통증의학과의원,의원,044-715-5875,30127,"세종특별자치시 한누리대로 249, 에스제이타워 508,509호 (나성동)"
208,더블유성형외과의원,의원,044-863-6673,30127,"세종특별자치시 한누리대로 245, 401호 (나성동, 에스알파크원)"
209,오라클피부과의원,의원,044-868-0075,30127,"세종특별자치시 한누리대로 245, 404~405호 (나성동, 에스알파크원)"
210,세종마취통증의학과의원,의원,044-863-7582,30130,"세종특별자치시 한누리대로 193, 402호 (나성동, 참미르빌딩)"
211,따뜻한 정신건강의학과의원,의원,044-715-7507,30153,"세종특별자치시 한누리대로 2257, 판타지타워 304호 (대평동)"
212,중앙연합의원,의원,044-715-7475,30153,"세종특별자치시 한누리대로 2257, 판타지타워 404, 405호 (대평동)"
213,라온소아청소년과의원,의원,044-866-1350,30127,"세종특별자치시 새롬중앙로 62-15, 해피라움W 303,304호 (새롬동)"
214,세종이안과의원,의원,044-868-7228,30127,"세종특별자치시 새롬중앙로 62-15, 해피라움W 403,404호 (새롬동)"
215,제일연합내과의원,의원,044-715-5501,30127,"세종특별자치시 새롬중앙로 62-15, 401호,402(일부)호 (새롬동, 해피라움W)"
216,세종드림연합의원,의원,1577-4713,30152,"세종특별자치시 한누리대로 2264, 3층 (대평동, 씨티오브드림)"
217,세종김연수피부과의원,의원,044-866-7534,30127,"세종특별자치시 새롬중앙로 64, 세종영광프라자 4층 402호 (새롬동)"
218,힘내라신경외과의원,의원,044-417-6881,30126,"세종특별자치시 새롬중앙로 67, 503호,504호,505호,506호 (새롬동, 오렌지빌딩)"
219,세종제일산부인과의원,의원,044-866-3582,30153,"세종특별자치시 한누리대로 2265, 세종메디컬센터 5층, 6층(대평동)"
220,이유경내과의원,의원,044-868-0261,30153,"세종특별자치시 한누리대로 2265, 세종메디컬센터 3층 304~306호 (대평동)"
221,강남 더 뷰티 성형외과의원,의원,044-864-8008,30130,"세종특별자치시 한누리대로 169, 스타벅스 행복타워 303호,305호,308호 (나성동)"
222,세종바른유외과의원,의원,044-998-7575,30130,"세종특별자치시 한누리대로 169, 세종행복타워 503~505호 (나성동)"
223,이삭소아청소년과의원,의원,044-865-8275,30130,"세종특별자치시 한누리대로 169, 세종행복타워 301,307,401호 (나성동)"
224,세종프라우메디산부인과의원,의원,044-716-1000,30130,"세종특별자치시 한누리대로 165, (나성동, 세종메디피아6,7층)"
225,상쾌한이비인후과의원,의원,044-862-7584,30126,"세종특별자치시 새롬중앙로 59, 403호 (새롬동, 새롬빌딩)"
226,연세하트내과의원,의원,044-715-7580,30126,"세종특별자치시 새롬중앙로 59, 새롬빌딩 5층 502,503호 (새롬동)"
227,세종반석정형외과의원,의원,044-863-7551,30130,"세종특별자치시 한누리대로 157, 601-609호 (나성동, 금강프라자)"
228,세종소아청소년과의원,의원,044-866-1275,30130,"세종특별자치시 한누리대로 157, 405호 (나성동, 금강프라자)"
229,새롬정형외과의원,의원,044-998-3369,30127,"세종특별자치시 새롬중앙로 34, 415호,416호,417호 (새롬동, 크리스마스빌딩)"
230,드림내과의원,의원,044-715-7582,30126,"세종특별자치시 새롬중앙로 55, 401호,402호403호 (새롬동, 행운빌딩)"
231,서울굿닥터(새롬)의원,의원,044-867-9933,30126,"세종특별자치시 새롬중앙로 55, 3층 (새롬동, 행운빌딩)"
232,세종영상의학과의원,의원,044-866-0009,30083,"세종특별자치시 금남면 용포로 116, 3층"
233,세종연세소아청소년과의원,의원,044-867-9393,30126,"세종특별자치시 새롬중앙로 47, 402~403호 (새롬동, 세움빌딩)"
234,부부내과의원,의원,044-866-0345,30083,"세종특별자치시 금남면 용포로 113, 113"
235,에스지연합의원,의원,044-864-9991,30153,"세종특별자치시 갈매로 58, 황산프라자 5층 501~511호 (대평동)"
236,한사랑메디칼의원,의원,044-866-7580,30130,"세종특별자치시 누리로 106, 302호 (한솔동, 송원프라자)"
237,서울의원,의원,044-866-7985,30083,"세종특별자치시 금남면 용포로 53, (금남면)"
238,우리들의원,의원,044-857-2345,30053,"세종특별자치시 장군면 장척로 401, (장군면)"
239,서문365정형외과의원,의원,044-868-1039,30153,"세종특별자치시 한누리대로 2281, SM메디컬센터 3층 (대평동)"
240,아름튼튼정형외과의원,의원,044-715-5375,30100,"세종특별자치시 보듬3로 92, 해피라움2 3층 301,302,315호 (아름동)"
241,코난소아청소년과의원,의원,044-715-7551,30141,"세종특별자치시 남세종로 73, 1층 109,110호 (집현동)"
242,전의부부치과의원,치과의원,044-862-2280,30004,"세종특별자치시 전의면 운주산로 1191-5, 2층"
243,세종치과의원,치과의원,044-862-7035,30004,"세종특별자치시 전의면 만세길 5, 2층"
244,박종석치과의원,치과의원,044-862-4500,30026,"세종특별자치시 조치원읍 장안로 1, ()"
245,윤치과의원,치과의원,044-867-4112,30027,"세종특별자치시 조치원읍 조치원로 38, 38"
246,송태영치과의원,치과의원,044-865-2821,30024,"세종특별자치시 조치원읍 조치원로 31-1, ()"
247,이종선치과의원,치과의원,044-865-6352,30024,"세종특별자치시 조치원읍 조치원로 31, 31"
248,최진웅치과의원,치과의원,044-866-2835,0,"세종특별자치시 조치원읍 새내로 122, (외 1필지 세종시네마 1동 204호)"
249,연세탑치과의원,치과의원,044-863-2844,30027,"세종특별자치시 조치원읍 조치원8길 6, 2층"
250,하얀치과의원,치과의원,044-866-6200,30027,"세종특별자치시 조치원읍 조치원로 30, 30"
251,김진용치과의원,치과의원,044-866-9281,30027,"세종특별자치시 조치원읍 조치원로 22, 22"
252,이병진치과의원,치과의원,044-862-2812,30023,"세종특별자치시 조치원읍 조치원로 7, 3층"
253,보성치과의원,치과의원,044-865-8879,30028,"세종특별자치시 조치원읍 조치원2길 5, 5"
254,이편한치과의원,치과의원,044-864-2875,30028,"세종특별자치시 조치원읍 새내로 97, 4층 1호"
255,다인치과의원,치과의원,044-868-7527,30028,"세종특별자치시 조치원읍 새내9길 3, 2,3층"
256,누가치과의원,치과의원,044-862-7597,30027,"세종특별자치시 조치원읍 새내로 88-1, 4층"
257,바른뿌리치과의원,치과의원,044-868-2804,30027,"세종특별자치시 조치원읍 새내8길 7, 2층"
258,서울치과의원,치과의원,044-867-2875,30028,"세종특별자치시 조치원읍 새내로 91, 1.2.3층"
259,문치과의원,치과의원,044-862-2875,30031,"세종특별자치시 조치원읍 대첩로 75, 75"
260,서울이사랑치과의원,치과의원,044-864-2840,30038,"세종특별자치시 조치원읍 세종로 2282, 3층 302,303호"
261,플러스치과의원,치과의원,044-867-2870,30036,"세종특별자치시 조치원읍 허만석로 60-1, (플러스타운 A동 201호)"
262,부부치과의원,치과의원,044-868-2275,30031,"세종특별자치시 조치원읍 도원2로 39, (2층)"
263,부강부부치과의원,치과의원,044-275-2855,30075,"세종특별자치시 부강면 부촌길 39, 1층"
264,부강수플란트치과의원,치과의원,044-275-5585,30075,"세종특별자치시 부강면 부촌길 29, (부강면)"
265,이편한홍치과의원,치과의원,044-862-2811,30047,"세종특별자치시 연서면 봉암길 8, ()"
266,당신의치과의원,치과의원,044-862-0028,30092,"세종특별자치시 해밀3로 51, 스카이허브 404,405호 (해밀동)"
267,연세해밀치과의원,치과의원,044-863-2879,30092,"세종특별자치시 해밀3로 43, 스카이드림 504호 (해밀동)"
268,유앤성부부치과의원,치과의원,044-862-7522,30146,"세종특별자치시 한누리대로 1820, 왕관빌딩 407~408호 (반곡동)"
269,세종튼튼치과의원,치과의원,044-866-2007,30146,"세종특별자치시 한누리대로 1824, 401,402호 (반곡동)"
270,세종하이치과의원,치과의원,044-862-7700,30146,"세종특별자치시 한누리대로 1828, 시드니블루 403호,404호호 (반곡동)"
271,바른명치과의원,치과의원,044-864-2824,30098,"세종특별자치시 한누리대로 583, 도담센트럴프라자 302,303,304,504,505호 (도담동)"
272,좋은하루 치과의원,치과의원,044-998-7599,30098,"세종특별자치시 보듬4로 9, 3층 8,9호 (도담동, 도램마을11단지)"
273,도담민들레치과의원,치과의원,044-865-0102,30100,"세종특별자치시 보듬3로 8-27, 403-1호 (도담동, 새한빌딩)"
274,덴탈365치과의원,치과의원,1661-3275,30147,"세종특별자치시 한누리대로 1958, 법조타운A 3층 301~310호 (소담동)"
275,누리마루치과의원,치과의원,044-865-2275,30107,"세종특별자치시 도움8로 81, A동 301호 (어진동)"
276,단국대학교 치과대학 세종치과병원,치과병원,044-410-5000,30107,"세종특별자치시 도움8로 87, (어진동, 단국빌딩)"
277,서울봄빛치과의원,치과의원,044-867-1575,30103,"세종특별자치시 절재로 194, 중앙타운 401,402,405호 (어진동)"
278,성원치과의원,치과의원,044-868-6091,30103,"세종특별자치시 절재로 194, 408.409호 (어진동, 세종드림)"
279,수치과의원,치과의원,044-864-5369,30103,"세종특별자치시 절재로 194, 508호 (어진동, 중앙타운)"
280,세종프라임치과의원,치과의원,044-868-3522,30103,"세종특별자치시 한누리대로 499, 402호 (어진동, 세종미디어프라자)"
281,세종꾸러기소아치과의원,치과의원,044-417-6991,30151,"세종특별자치시 한누리대로 2012, 코끼리타워 301,302,303호 (소담동)"
282,김만주정성치과의원,치과의원,044-865-2080,30150,"세종특별자치시 소담1로 16, 지엘플렉스2 404호 (소담동)"
283,서울소담치과의원,치과의원,044-865-2811,30151,"세종특별자치시 한누리대로 2018, 304~305호 (소담동, 사이언스타운)"
284,세움치과의원,치과의원,044-862-2755,30100,"세종특별자치시 보듬3로 92, 310호 (아름동, 해피라움2상가)"
285,세종베스트치과의원,치과의원,044-865-7528,30100,"세종특별자치시 보듬3로 92, 407.408호 (아름동, 해피라움2상가)"
286,아름치과의원,치과의원,044-863-2833,30100,"세종특별자치시 보듬3로 92, 206.207호 (아름동, 해피라움2상가)"
287,더브라운치과의원,치과의원,044-865-2929,30062,"세종특별자치시 마음로 272-3, 고운에듀프라자 303,304호 (고운동)"
288,연세감동치과의원,치과의원,044-868-7522,30151,"세종특별자치시 한누리대로 2022, 404호,405호 (소담동, 아크레타 아이콤스타타워)"
289,연세럭스치과의원,치과의원,044-864-2804,30100,"세종특별자치시 보듬3로 100, 해피라움1 204,205호 (아름동)"
290,세종어린이치과의원,치과의원,044-865-7502,30100,"세종특별자치시 보듬3로 91, 305호 (아름동, 해피라움4상가)"
291,강남세종치과의원,치과의원,044-864-8111,30062,"세종특별자치시 마음로 264, 고운프라자 2층 205호 (고운동)"
292,참좋아치과의원,치과의원,044-864-8575,30100,"세종특별자치시 보듬3로 143, 304,305,306호 (아름동, 대영프라자)"
293,더플랜트치과의원,치과의원,044-998-2875,30100,"세종특별자치시 아름서1길 13-12, 403,404호 (아름동, 제이디빌딩)"
294,서울굿모닝치과의원,치과의원,044-865-2833,30064,"세종특별자치시 도움3로 105-5, 505.506호 (종촌동, 종촌중앙프라자)"
295,우리치과의원,치과의원,044-865-0231,30064,"세종특별자치시 도움3로 105-5, 402.403호 (종촌동, 종촌중앙프라자)"
296,세종서울치과의원,치과의원,044-863-7528,30064,"세종특별자치시 도움3로 105-7, 501호 (종촌동, 메디케어빌딩)"
297,두치과의원,치과의원,044-868-2877,30064,"세종특별자치시 달빛로 59, 402.403.404호 (종촌동, 호만빌딩)"
298,맘애든치과의원,치과의원,044-862-2874,30064,"세종특별자치시 도움3로 105-8, 501.502호 (종촌동, 신목빌딩)"
299,패밀리치과의원,치과의원,044-866-2804,30064,"세종특별자치시 달빛로 47, 301호 (종촌동, 종촌파크프라자)"
300,삼성온가족치과의원,치과의원,044-865-2843,30064,"세종특별자치시 도움1로 106, 510호 (종촌동, 메가시티)"
301,화이트부부치과의원,치과의원,044-865-2835,30064,"세종특별자치시 도움1로 108, 410.411호 (종촌동, 몰리브)"
302,세종미소치과의원,치과의원,044-864-4936,30150,"세종특별자치시  한누리대로 2135, 302,303,301호 (보람동, 스타힐타워1) (보람동)"
303,메디컬뱅크치과의원,치과의원,044-862-2873,30121,"세종특별자치시 한누리대로 350, 뱅크빌딩 4층 2호 (어진동)"
304,세종드림치과의원,치과의원,044-868-2815,30150,"세종특별자치시 한누리대로 2143, 금강시티타워 405,406호 (보람동)"
305,마음편한치과의원,치과의원,044-867-2804,30150,"세종특별자치시 남세종로 458, 아리랑빌딩 303호 (보람동)"
306,세종보람치과의원,치과의원,044-863-7522,30150,"세종특별자치시 남세종로 466, 403호 (보람동, 아평빌딩)"
307,스마일치과의원,치과의원,044-863-8575,30063,"세종특별자치시 마음로 74, 그랜드프라자 202,203호 (고운동)"
308,연세크리스마스치과의원,치과의원,044-865-2075,30063,"세종특별자치시 마음로 70, 302.303호 (고운동, 에셀프라자)"
309,연세올바른치과의원,치과의원,044-862-2622,30123,"세종특별자치시 다정중앙로 58, 다정메디프라자 302,303호 (다정동)"
310,연세세브란스치과의원,치과의원,044-715-5000,30124,"세종특별자치시 다정중앙로 57, 다정센타프라자 305호 (다정동)"
311,세종스타치과의원,치과의원,044-905-2222,30128,"세종특별자치시 나성로 125-16, 7~8층 (나성동, 스타타워)"
312,도치소아치과의원,치과의원,044-865-5200,30124,"세종특별자치시 다정중앙로 51, 더다정빌딩 505호 (다정동)"
313,건강한이치과의원,치과의원,044-865-7520,30124,"세종특별자치시 다정중앙로 45, 다정프라자 303호 (다정동)"
314,서울바른이치과의원,치과의원,044-863-2282,30124,"세종특별자치시 다정중앙로 39, 다정센터프라자2 504호 (다정동)"
315,이도치과의원,치과의원,044-867-7525,30127,"세종특별자치시 한누리대로 275, 형성프라자 501,502,503호 (나성동)"
316,앨리스치과의원,치과의원,044-417-1511,30127,"세종특별자치시 한누리대로 265, 명동프라자 5층 (나성동)"
317,유디치과의원,치과의원,044-715-7188,30129,"세종특별자치시 나성로 38, 세종가로수길 38, 세종가로수길 A301,A302a,A302,A303호 (나성동)"
318,바른치과의원,치과의원,044-868-2882,30127,"세종특별자치시 한누리대로 253, 에스빌딩 502호 (나성동)"
319,연세고마운치과의원,치과의원,044-866-2872,30127,"세종특별자치시 한누리대로 249, 406~407호 (나성동, 에스제이타워)"
320,세종365치과의원,치과의원,044-715-5365,30127,"세종특별자치시 한누리대로 245, 에스알파크원 402,403호 (나성동)"
321,서울좋은치과의원,치과의원,044-862-7528,30130,"세종특별자치시 한누리대로 193, 301호 (나성동, 참미르빌딩)"
322,이사랑치과의원,치과의원,044-868-0037,30153,"세종특별자치시 한누리대로 2257, 판타지타워 203호 (대평동)"
323,금동치과의원,치과의원,044-866-9037,30127,"세종특별자치시 새롬중앙로 62-15, 505호 (새롬동, 해피라움W)"
324,한솔퍼스트치과의원,치과의원,044-866-2275,30127,"세종특별자치시 새롬중앙로 62-15, 201호 (새롬동, 해피라움W)"
325,바른우리치과교정과치과의원,치과의원,044-998-2080,30127,"세종특별자치시 새롬중앙로 64, 301~302호 (새롬동, 세종영광프라자)"
326,제이와이치과의원,치과의원,044-867-5600,30127,"세종특별자치시 새롬중앙로 64, 404호 (새롬동, 세종영광프라자)"
327,새온치과의원,치과의원,044-867-2842,30126,"세종특별자치시 새롬중앙로 67, 304호 (새롬동, 오렌지빌딩)"
328,첫마을치과의원,치과의원,044-867-2275,30130,"세종특별자치시 한누리대로 165, 세종메디피아 302,303호 (나성동)"
329,세종탑치과의원,치과의원,044-715-7528,30126,"세종특별자치시 새롬중앙로 59, 303호 (새롬동, 새롬빌딩)"
330,세종플란트치과의원,치과의원,044-868-2875,30130,"세종특별자치시 한누리대로 157, (나성동, 금강프라자,304호)"
331,새롬숲치과의원,치과의원,044-999-2577,30127,"세종특별자치시 새롬중앙로 34, 311호 (새롬동, 크리스마스빌딩)"
332,디어트치과의원,치과의원,1522-1998,30153,"세종특별자치시 한누리대로 2275, 알파메디컬센터 303~306호 (대평동)"
333,심치과의원,치과의원,044-862-2871,30126,"세종특별자치시 새롬중앙로 47, 405호 (새롬동, 세움빌딩)"
334,황실치과의원,치과의원,044-866-2888,30153,"세종특별자치시 한누리대로 2281, SM메디컬센터 410호 (대평동)"
335,새서울치과의원,치과의원,044-866-2875,30083,"세종특별자치시 금남면 용포로 113, 113"
336,엔연세감동치과의원,치과의원,044-868-7523,30126,"세종특별자치시 새롬중앙로 33, 새뜸프라자 303, 304호 (새롬동)"
337,세종금남치과의원,치과의원,044-863-5275,30083,"세종특별자치시 금남면 용포로 80, 2층"
338,강남치과의원,치과의원,044-867-7528,30083,"세종특별자치시  금남면 용포로 63, 2층"
339,원 치과의원,치과의원,044-864-2827,30053,"세종특별자치시 장군면 장척로 407, 2층"
340,모드니치과의원,치과의원,044-864-2876,30065,"세종특별자치시 금송로 687, 3층 (가람동, 이마트세종점)"
341,해들치과의원,치과의원,044-862-2804,30153,"세종특별자치시 한누리대로 2257, 판타지타워 305호 (대평동)"
342,원한의원,한의원,044-866-1122,30004,"세종특별자치시 전의면 장터길 2-1, 2"
343,대중한의원,한의원,044-863-5253,30004,"세종특별자치시 전의면 만세길 22, ()"
344,광제중국한의원,한의원,044-865-8338,30026,"세종특별자치시 조치원읍 조치원로 42, 2층"
345,제중한의원,한의원,044-866-3331,30024,"세종특별자치시 조치원읍 조치원로 31-1, ()"
346,금강한의원,한의원,044-862-5310,30027,"세종특별자치시 조치원읍 조치원로 24, 2,3층"
347,박성섭한의원,한의원,044-865-1985,30027,"세종특별자치시 조치원읍 조치원4길 6, 6"
348,금빛한의원,한의원,044-862-1358,30027,"세종특별자치시 조치원읍 조치원4길 16, 1층"
349,백상한의원,한의원,044-865-0945,30027,"세종특별자치시 조치원읍 새내10길 13, 13"
350,태화당한의원,한의원,044-865-1991,30027,"세종특별자치시 조치원읍 새내로 98, (조치원읍)"
351,현가한의원,한의원,044-865-1075,30027,"세종특별자치시 조치원읍 새내10길 12, 2층"
352,경희일구한의원,한의원,044-863-7719,30027,"세종특별자치시 조치원읍 새내로 88-2, ()"
353,마음그린한의원,한의원,044-866-7510,30027,"세종특별자치시 조치원읍 새내6길 3, 3"
354,임재욱한의원,한의원,044-862-3333,30034,"세종특별자치시 조치원읍 충현로 47, ()"
355,유한의원,한의원,044-868-9677,30034,"세종특별자치시 조치원읍 군청로 88, 1층"
356,대성한의원,한의원,044-862-3375,30031,"세종특별자치시 조치원읍 도원2로 39, ()"
357,부강한의원,한의원,044-275-8155,30075,"세종특별자치시 부강면 부강1길 5, (부강면)"
358,새봄빛한의원,한의원,044-868-1075,30076,"세종특별자치시 부강면 부강로 53, 2층 201호 (세종클리닉)"
359,유심한의원,한의원,044-868-0375,30075,"세종특별자치시 부강면 부강로 42, 105.106.107호"
360,예림한의원,한의원,044-868-8880,30047,"세종특별자치시 연서면 당산로 345, ()"
361,평강한의원,한의원,044-864-8270,30058,"세종특별자치시 연기면 당산로 121, 2층"
362,허브힐한의원,한의원,044-862-7975,30092,"세종특별자치시 해밀3로 51, 스카이허브 3층 301호 (해밀동)"
363,세종센텀한의원,한의원,044-868-6882,30092,"세종특별자치시 해밀3로 43, 스카이드림 3층 301,302호 (해밀동)"
364,아낌없이주는나무한의원,한의원,044-865-0002,30146,"세종특별자치시 한누리대로 1820, 왕관빌딩 503-1,503-2,504호 (반곡동)"
365,반곡한의원,한의원,044-216-6200,30146,"세종특별자치시 한누리대로 1824, 조이프라자 405~406호 (반곡동)"
366,백헌한의원,한의원,044-415-1802,30146,"세종특별자치시 한누리대로 1828, 시드니블루 407,408호 (반곡동)"
367,로안한의원,한의원,044-866-7579,30146,"세종특별자치시 한누리대로 1844, 402,403호 (반곡동)"
368,경희한의원,한의원,044-862-1025,30100,"세종특별자치시 한누리대로 583, 403호 (도담동, 도담센트럴프라자)"
369,이룸한의원,한의원,044-863-4107,30098,"세종특별자치시 보듬4로 9, 4F-6호, 4F-7호호 (도담동, 도램마을11단지)"
370,세종도담한의원,한의원,044-864-5852,30100,"세종특별자치시 보듬3로 8-20, 207호 (도담동, 한신휴시티)"
371,여담한의원,한의원,044-715-5868,30107,"세종특별자치시 도움8로 91, 세종마치 402호 (어진동)"
372,경희부부한의원,한의원,044-905-2200,30103,"세종특별자치시 절재로 194, 중앙타운 302(일부)호 (어진동)"
373,세종시365으랏차한의원,한의원,044-864-5671,30103,"세종특별자치시 절재로 194, 407호 (어진동, 세종드림)"
374,아이맘편작한의원,한의원,044-864-8375,30103,"세종특별자치시 절재로 194, 중앙타운 5층 512호 (어진동)"
375,맑은숲한의원,한의원,044-868-1085,30102,"세종특별자치시 한누리대로 499, 401호 (어진동, 세종포스트빌딩)"
376,동경한의원,한의원,044-865-7573,30151,"세종특별자치시 소담3로 8, 새샘마을7단지 근린생활시설 1층 5호 (소담동)"
377,세종청사 부속한의원,한의원,044-200-1566,30064,"세종특별자치시 다솜2로 94, 5동 301호 (어진동, 정부세종청사)"
378,태이재한의원,한의원,044-415-1919,30150,"세종특별자치시 한누리대로 2009, 펠리체타워2 203호 (소담동)"
379,햇님한의원,한의원,044-866-6777,30150,"세종특별자치시 소담1로 16, 지엘플렉스2 302호 (소담동)"
380,아름한의원,한의원,044-868-9600,30100,"세종특별자치시 보듬3로 104-19, 303호 (아름동, 세석빌딩)"
381,세종소담한의원,한의원,044-862-3500,30151,"세종특별자치시 한누리대로 2018, 407~408호 (소담동, 사이언스타운)"
382,정토한의원,한의원,044-863-7588,30100,"세종특별자치시 보듬3로 92, 303호 (아름동, 해피라움2상가)"
383,경희바른몸한의원,한의원,044-868-1015,30151,"세종특별자치시 한누리대로 2022, 504호,505호 (소담동, 아크레타 아이콤스타타워)"
384,정부세종청사 중앙동 부속한의원,한의원,044-204-1417,30112,"세종특별자치시 도움6로 42, 정부세종청사 중앙동 2층 의무실(일부)호 (어진동)"
385,에이스한의원,한의원,044-867-1076,30100,"세종특별자치시 보듬3로 100, 405-2호 (아름동, 해피라움1)"
386,범지기한의원,한의원,044-998-0700,30100,"세종특별자치시 보듬3로 101, 2층 201,202호 (아름동)"
387,경희고운한의원,한의원,044-864-9575,30062,"세종특별자치시 마음로 264, 301층 (고운동, 고운프라자)"
388,드림여성한의원,한의원,044-865-7765,30100,"세종특별자치시 보듬3로 143, 402호 (아름동, 대영프라자)"
389,세종함소아한의원,한의원,044-868-8333,30100,"세종특별자치시 보듬3로 143, 405,406호 (아름동, 대영프라자)"
390,어진서부한의원,한의원,044-960-5333,30116,"세종특별자치시 한누리대로 411, KT&G세종타워A 2층 3호 (어진동)"
391,세종청사 제2부속한의원,한의원,044-203-1404,30118,"세종특별자치시 한누리대로 402, 13동 434호 (어진동, 정부세종청사)"
392,율제한의원,한의원,044-417-1585,30064,"세종특별자치시 도움3로 105-7, 302호 (종촌동, 메디케어빌딩)"
393,바른한의원,한의원,044-868-0380,30064,"세종특별자치시 달빛로 59, 호만빌딩 203호,301호,302호 (종촌동)"
394,박승룡한의원,한의원,044-867-2075,30064,"세종특별자치시 달빛로 47, 202호 (종촌동, 종촌파크프라자)"
395,산돌한의원,한의원,044-865-7585,30064,"세종특별자치시 도움1로 106, 메가시티 502,508,509,514호 (종촌동)"
396,박소영한의원,한의원,044-865-7075,30064,"세종특별자치시 도움1로 108, 413호 (종촌동, 몰리브)"
397,숨편한한의원,한의원,044-866-0175,30064,"세종특별자치시 도움1로 108, 402-2.420호 (종촌동, 몰리브)"
398,본한의원,한의원,044-862-7755,30150,"세종특별자치시 한누리대로 2135, 스타힐타워1 201,202호 (보람동)"
399,생생당한의원,한의원,044-868-3284,30151,"세종특별자치시 한누리대로 2144, 스마트허브Ⅱ 301호 (보람동)"
