0,"3,100",1557,"1,543"
1,"3,611",1806,"1,805"
2,"3,655",1844,"1,811"
3,"4,114",2091,"2,023"
4,"4,484",2294,"2,190"
5,"4,889",2477,"2,412"
6,"5,383",2762,"2,621"
7,"5,769",2927,"2,842"
8,"5,510",2853,"2,657"
9,"5,436",2768,"2,668"
10,"5,955",3048,"2,907"
11,"5,591",2878,"2,713"
12,"5,518",2829,"2,689"
13,"5,203",2638,"2,565"
14,"5,290",2588,"2,702"
15,"5,044",2485,"2,559"
16,"4,516",2287,"2,229"
17,"4,022",2005,"2,017"
18,"4,065",2010,"2,055"
19,"3,798",1879,"1,919"
20,"3,460",1848,"1,612"
21,"3,480",1838,"1,642"
22,"3,740",2000,"1,740"
23,"3,497",1805,"1,692"
24,"3,560",1849,"1,711"
25,"3,509",1784,"1,725"
26,"3,772",1889,"1,883"
27,"4,125",2086,"2,039"
28,"4,543",2284,"2,259"
29,"4,693",2322,"2,371"
30,"5,337",2635,"2,702"
31,"5,577",2639,"2,938"
32,"5,400",2620,"2,780"
33,"5,565",2715,"2,850"
34,"5,974",3006,"2,968"
35,"6,050",2958,"3,092"
36,"6,359",3159,"3,200"
37,"6,495",3219,"3,276"
38,"6,776",3354,"3,422"
39,"7,550",3644,"3,906"
40,"8,675",4173,"4,502"
41,"8,610",4229,"4,381"
42,"8,408","4,168","4,240"
43,"8,505","4,180","4,325"
44,"6,985","3,499","3,486"
45,"7,452","3,731","3,721"
46,"6,978","3,509","3,469"
47,"6,856","3,462","3,394"
48,"7,096","3,689","3,407"
49,"6,939","3,590","3,349"
50,"6,388","3,482","2,906"
51,"6,580","3,514","3,066"
52,"5,999","3,179","2,820"
53,"5,632","2,947","2,685"
54,"5,469","2,865","2,604"
55,"4,786","2,447","2,339"
56,"4,317","2,265","2,052"
57,"4,357","2,208","2,149"
58,"4,337","2,255","2,082"
59,"3,802","1,964","1,838"
60,"4,355","2,225","2,130"
61,"4,491","2,237","2,254"
62,"4,372","2,175","2,197"
63,"3,962","1,954","2,008"
64,"3,606","1,808","1,798"
65,"3,545","1,754","1,791"
66,"3,235","1,602","1,633"
67,"3,316","1,639","1,677"
68,"2,767","1,358","1,409"
69,"2,139","1,045","1,094"
70,"2,439","1,167","1,272"
71,"1,678",830,848
72,"1,893",931,962
73,"1,880",899,981
74,"1,651",813,838
75,"1,590",736,854
76,"1,231",576,655
77,"1,079",482,597
78,"1,159",494,665
79,"1,105",466,639
80,"1,339",562,777
81,"1,114",447,667
82,883,347,536
83,953,349,604
84,805,283,522
85,701,217,484
86,688,231,457
87,648,183,465
88,521,153,368
89,427,111,316
90,359,71,288
91,260,57,203
92,224,50,174
93,185,32,153
94,137,23,114
95,89,16,73
96,65,13,52
97,34,5,29
98,19,3,16
99,26,2,24
100»ף,35,7,28
